country,question,mean_wave_1,mean_wave_7,change_direction,change_magnitude,t_statistic,p_value
AUS,A104,0.15472312703583063,0.5061936936936937,Increase,0.3514705666578631,-15.915933599236233,1.0329146100756071e-54
JPN,A124_06,0.0681063122923588,0.3005339435545385,Increase,0.2324276312621797,-15.917231689500722,6.657106217433258e-54
AUS,A032,0.2964169381107492,0.5692222835079978,Increase,0.27280534539724854,-15.613233044063778,9.807481556182609e-53
MEX,A008,1.8573014991671293,1.5025847214244687,Drop,-0.3547167777426605,15.057915548385896,1.0493425630664486e-49
AUS,A034,0.13355048859934854,0.35355763927192496,Increase,0.22000715067257642,-14.818036180614225,5.1517440471159404e-48
ARG,A027,0.48059701492537316,0.7836490528414756,Increase,0.3030520379161024,-14.825707159006607,3.4867672018595024e-47
MEX,A030,0.18454001088731628,0.39482758620689656,Increase,0.21028757531958028,-14.198136008389445,1.8432225630766985e-44
JPN,A124_03,0.5274086378737541,0.7820804859529233,Increase,0.2546718480791692,-13.879123727998193,3.780075116927663e-42
KOR,A124_06,0.03711340206185567,0.22008032128514057,Increase,0.1829669192232849,-13.836632533820163,1.7410604035725596e-41
MEX,A102,0.03647250952640174,0.2206896551724138,Increase,0.18421714564601205,-13.282561449961284,6.213033732254825e-39
AUS,A042,0.41123778501628666,0.1897407611693326,Drop,-0.22149702384695405,13.185914552716993,2.755734586261293e-38
KOR,A035,0.24948453608247423,0.5084337349397591,Increase,0.25894919885728485,-13.043360754783773,1.6699227768947794e-37
MEX,A029,0.15405552531301034,0.3296955772544515,Increase,0.17564005194144114,-12.482474316068224,5.779500736784741e-35
AUS,A103,0.041530944625407164,0.2184166198764739,Increase,0.17688567525106674,-12.233717808703744,1.6868345385283308e-33
AUS,A105,0.21498371335504887,0.51010101010101,Increase,0.2951172967459612,-11.903176442056713,5.91175246636187e-32
KOR,A039,0.2670103092783505,0.4963855421686747,Increase,0.2293752328903242,-11.426969334670895,2.0741524470723527e-29
ARG,A098,0.1582089552238806,0.4795613160518445,Increase,0.3213523608279639,-11.256218857652154,1.91866927600138e-28
MEX,A039,0.10342950462710941,0.24266820011500861,Increase,0.1392386954878992,-11.139096703178904,2.744147775662659e-28
JPN,A035,0.41029900332225916,0.6260162601626016,Increase,0.21571725684034243,-11.150138252861137,3.250451592424009e-28
MEX,A103,0.04953728905824714,0.20253164556962025,Increase,0.1529943565113731,-11.007538197022066,1.331762180454809e-27
MEX,A100,0.10560696788241698,0.29540229885057473,Increase,0.18979533096815776,-10.885615708212178,4.2537981039021846e-27
ARG,A035,0.43980099502487563,0.67098703888335,Increase,0.23118604385847435,-10.712736752668723,4.4525351572122496e-26
ARG,A170,6.770020533880904,7.701894317048853,Increase,0.9318737831679496,-10.707457218589608,5.176462002398252e-26
AUS,A124_03,0.5618892508143323,0.7451737451737451,Increase,0.18328449435941285,-10.487569031311553,3.422494379217151e-25
KOR,A062,2.398901098901099,2.1421686746987953,Drop,-0.25673242420230347,10.275129247630101,3.817232068674598e-24
KOR,A030,0.4,0.6088353413654618,Increase,0.20883534136546178,-9.965795538905063,6.953542593242595e-23
AUS,A035,0.6710097719869706,0.827357970215113,Increase,0.1563481982281424,-9.719824250340848,6.660305877885372e-22
JPN,A027,0.6794019933554817,0.8403547671840355,Increase,0.16095277382855377,-9.613798512996254,1.779046638735276e-21
ARG,A062,1.9663951120162932,2.2505050505050503,Increase,0.2841099384887571,-9.525265767342054,4.64846961208626e-21
MEX,A101,0.08655416439847577,0.22988505747126436,Increase,0.1433308930727886,-9.359873912572482,1.5584135662714796e-20
MEX,A104,0.07512248230811105,0.21646516983304548,Increase,0.14134268752493442,-9.286435797995495,2.9983887824323985e-20
JPN,A008,2.0207394048692517,1.7983383685800605,Drop,-0.22240103628919128,8.82560557100611,2.0768024188449717e-18
MEX,A173,7.560457516339869,8.163887291546866,Increase,0.6034297752069966,-8.784293808316612,2.412902609569875e-18
MEX,A041,0.2525857376156777,0.38598506605399197,Increase,0.13339932843831426,-8.628308406792824,9.318355374311018e-18
AUS,A098,0.36807817589576547,0.5874790385690329,Increase,0.21940086267326747,-8.354787945466889,1.0102450096290761e-16
ARG,A008,2.057142857142857,1.8118006103763988,Drop,-0.2453422467664581,8.369242120965918,1.0871889901597913e-16
ARG,A009,2.470225872689938,2.1538461538461537,Drop,-0.31637971884378446,8.089087168813117,1.0403137007508191e-15
MEX,A042,0.43930321175830156,0.5712643678160919,Increase,0.13196115605779035,-7.95756653671563,2.336883567673719e-15
AUS,A062,2.228876127973749,2.050055617352614,Drop,-0.17882051062113513,7.832351642249452,6.987925509931274e-15
ARG,A039,0.1681592039800995,0.3150548354935194,Increase,0.14689563151341992,-7.799828506248335,1.0100679508197473e-14
ARG,A173,7.050732807215333,7.77364185110664,Increase,0.7229090438913071,-7.7466938064129005,1.5635863188062922e-14
MEX,A124_03,0.4235166031573217,0.5505747126436782,Increase,0.12705810948635649,-7.658142153911711,2.414724526232213e-14
AUS,A173,7.101485148514851,7.673526140155729,Increase,0.5720409916408773,-7.553470017783712,5.95203165311949e-14
KOR,A029,0.4505154639175258,0.6040160642570281,Increase,0.15350060033950236,-7.254340912631361,5.682804029337299e-13
JPN,A100,0.05564784053156146,0.17440119760479042,Increase,0.11875335707322895,-7.102492123886099,1.6710825901502977e-12
JPN,A029,0.4676079734219269,0.6023651145602366,Increase,0.13475714113830967,-6.87587987243244,7.748200487941905e-12
JPN,A038,0.3081395348837209,0.43680709534368073,Increase,0.1286675604599598,-6.789183038404778,1.3977836787270097e-11
KOR,A041,0.11855670103092783,0.040160642570281124,Drop,-0.0783960584606467,6.653509795165691,3.9919884838040486e-11
ARG,A042,0.18606965174129353,0.3090727816550349,Increase,0.12300312991374135,-6.447426528930443,1.4305297420398621e-10
ARG,A103,0.014925373134328358,0.0897308075772682,Increase,0.07480543444293984,-6.23618087702993,5.969955662470576e-10
KOR,A042,0.12886597938144329,0.05140562248995984,Drop,-0.07746035689148345,6.22077158548916,6.308392402051015e-10
